appid,name,playtime_2weeks,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,created_time
3419430,Bongo Cat,2155,8073,b25d4b846c745bdf809f5657af00298e0ae62465,8073,0,0,0,2025-10-23 01:02:10.692178+08:00
1172470,Apex Legends,577,1426,6cc35932af780289ae3d8d5cdbfe9cd545decad2,1426,0,0,0,2025-10-23 01:02:10.692178+08:00
3167020,Escape from Duckov,160,160,5bb8d31708442a8f3ddbc100d7be7c3fde530d18,160,0,0,0,2025-10-23 01:02:10.692178+08:00
1245430,Golden Light,156,156,4e672c5a15172ee4fb9cb344f927f28a229208c0,156,0,0,0,2025-10-23 01:02:10.692178+08:00
1718570,ASTLIBRA ～生きた証～ Revision,146,299,e7c445fc57e408d34f6d831588026cace13d3150,299,0,0,0,2025-10-23 01:02:10.692178+08:00
1885110,Cryptmaster,139,139,82604207034794ceb78b03dc22b81098c165a3e1,139,0,0,0,2025-10-23 01:02:10.692178+08:00
1416960,Everafter Falls,134,310,f00cbc92cd18e052456828980f1e0d963cf02569,310,0,0,0,2025-10-23 01:02:10.692178+08:00
1214470,Hotel Renovator,125,125,15456c8163144b00a3f098d3c0e8866b20e854ea,125,0,0,0,2025-10-23 01:02:10.692178+08:00
1030840,Mafia: Definitive Edition,118,118,883ceebf7d8ebce37c9244a62777ef4a800393ce,118,0,0,0,2025-10-23 01:02:10.692178+08:00
3783770,Shadow of the Road Demo,75,75,6ceffcb1b383e802d3782c6337aa05dd08ae3af6,75,0,0,0,2025-10-23 01:02:10.692178+08:00
1546790,"Peace, Death! 2",69,174,14dd8d3da57ac8d66e25f7c5542dfee816ccaae6,174,0,0,0,2025-10-23 01:02:10.692178+08:00
962580,Summer in Mara,60,148,e04b8a76de0da6666e1366f07edbaec6669a3660,148,0,0,0,2025-10-23 01:02:10.692178+08:00
3844400,SpongeBob SquarePants: Titans of the Tide Demo,58,58,768c0e9ca8162891d0fead8d7a28fb2f9b0d2658,58,0,0,0,2025-10-23 01:02:10.692178+08:00
2186680,"Warhammer 40,000: Rogue Trader",56,144,a944983525cae5819f19bb2b530cb28ea4f6bd06,144,0,0,0,2025-10-23 01:02:10.692178+08:00
1404850,Luck be a Landlord,56,143,ce8b9c2719ccf0fb47c3b97eb58f758913a268fd,143,0,0,0,2025-10-23 01:02:10.692178+08:00
4023520,Below the Crown Demo,55,55,5ee79d34104dd881d4368222773c050fdab1626a,55,0,0,0,2025-10-23 01:02:10.692178+08:00
2162560,Enter the Chronosphere Demo,54,54,bf1f9382dfad568e1d21c12f46b618531af5d98e,54,0,0,0,2025-10-23 01:02:10.692178+08:00
3344980,Philna Fantasy Demo,53,53,3bb6baa04c45fc9cc6f7a4bc8aac75944e8b9c18,53,0,0,0,2025-10-23 01:02:10.692178+08:00
250760,Shovel Knight: Treasure Trove,52,137,a4df2557166453374519b64ed5ccef3f0a643f4e,137,0,0,0,2025-10-23 01:02:10.692178+08:00
1581770,SpellForce: Conquest of Eo,48,136,ea35afa74e009e1cca12bdae92e15b8ebbd7dee9,136,0,0,0,2025-10-23 01:02:10.692178+08:00
576770,Low Magic Age,47,133,49187c57eaad8e0f4e2454b0a83cd533bd080c6c,133,0,0,0,2025-10-23 01:02:10.692178+08:00
207080,Indie Game: The Movie,44,136,1d29a72931dc845cf9ec7a04501fe40a7ed57dd1,136,0,0,0,2025-10-23 01:02:10.692178+08:00
1836120,QUICKERFLAK,44,137,20cd84a07562ab0d83b43ad58be8b97206297cda,137,0,0,0,2025-10-23 01:02:10.692178+08:00
230070,The Age of Decadence,43,136,68c3456eed61992a13543dbfdea6fc9f771c0c3d,136,0,0,0,2025-10-23 01:02:10.692178+08:00
3783240,灰烬圣预 Demo,42,42,f710e9a5c63039e26d446495bac3b738076f2354,42,0,0,0,2025-10-23 01:02:10.692178+08:00
466300,Planescape: Torment: Enhanced Edition,40,139,4e1c0c44dbe08a29733cd96ab0f8fc87db8b60ea,139,0,0,0,2025-10-23 01:02:10.692178+08:00
3833670,Wizard Cats Demo,37,37,99956926d0550b6c6cb64248983c456548f15cf6,37,0,0,0,2025-10-23 01:02:10.692178+08:00
552990,World of Warships,37,142,023b6bb5bcf82f9222d70cd38fdb18a899bd67e8,142,0,0,0,2025-10-23 01:02:10.692178+08:00
427410,Abiotic Factor,36,140,789cca4e4e51a6649f5728d870d3a602e3c453fe,140,0,0,0,2025-10-23 01:02:10.692178+08:00
3859960,Goblin Vyke Demo,35,35,df4c0d56c8683839fe50fc888076a988db228920,35,0,0,0,2025-10-23 01:02:10.692178+08:00
1177980,"Little Kitty, Big City",30,128,6ec93a31653f49b4bf7ab633c4d136210751d30e,128,0,0,0,2025-10-23 01:02:10.692178+08:00
357070,UBERMOSH,29,128,e8cd0580affd04d1da681da369fb0d5f927dae8d,128,0,0,0,2025-10-23 01:02:10.692178+08:00
841600,Aura of Worlds,28,139,fbe638f7ad0b76818ef6ca44d76781766a7c5767,139,0,0,0,2025-10-23 01:02:10.692178+08:00
546090,Trip to Vinelands,25,127,9fb1ad4ba8ebc025971ccd3ca36b1f0cdcc064b7,127,0,0,0,2025-10-23 01:02:10.692178+08:00
2985630,Revelation of Decay Demo,23,23,c4489a62ba62fd7c178ec79b966a86c855e768e8,23,0,0,0,2025-10-23 01:02:10.692178+08:00
701470,TTV2,23,126,f0b891dc7c68da8aeed43edf590f02c2e98c5547,126,0,0,0,2025-10-23 01:02:10.692178+08:00
844590,Hypnospace Outlaw,23,134,98ea853e63f3963988297b67cfbb2cb8cb00b7eb,134,0,0,0,2025-10-23 01:02:10.692178+08:00
3803790,Rhythm Hotel Demo,14,14,f5ec06c9047ee733bec167156054f5045c1ce481,14,0,0,0,2025-10-23 01:02:10.692178+08:00
219890,Antichamber,14,130,1c3afe41623c51172ef1dc96427bf23bb940748b,130,0,0,0,2025-10-23 01:02:10.692178+08:00
3978190,Creator Chronicles Demo,13,13,8f8dc2db4c59028cc91e623711de71e20c3b787f,13,0,0,0,2025-10-23 01:02:10.692178+08:00
3649620,轮盘英雄 Demo,12,12,bcf01fcc97731225201fc50b903443f794278169,12,0,0,0,2025-10-23 01:02:10.692178+08:00
3836320,Extinction Day Demo,7,7,6cfd2948b14a79db51913cd15756c98bfc1934ce,7,0,0,0,2025-10-23 01:02:10.692178+08:00
4059560,Tingus Goose Demo,5,5,17f3f6394a8c3d93fab74bc3de6d698be880de0a,5,0,0,0,2025-10-23 01:02:10.692178+08:00
3132890,Into The Grid Demo,3,3,5c3a1415295a237810c6315ab0cc0e7e2fe3bb22,3,0,0,0,2025-10-23 01:02:10.692178+08:00
691830,Avernum 3: Ruined World,2,167,a8ab85b97b6d0b162dd10fde05e8d68b9b0a95b0,167,0,0,0,2025-10-23 01:02:10.692178+08:00
3374500,Snow Ash Demo,1,1,b2520b6b35aa943f8b6403a4552ae2522ddc36a9,1,0,0,0,2025-10-23 01:02:10.692178+08:00
