appid,name,playtime_2weeks,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,created_time
3419430,Bongo Cat,510,5922,b25d4b846c745bdf809f5657af00298e0ae62465,5922,0,0,0,2025-10-08 01:01:19.293670+08:00
1172470,Apex Legends,230,852,6cc35932af780289ae3d8d5cdbfe9cd545decad2,852,0,0,0,2025-10-08 01:01:19.293670+08:00
1416960,Everafter Falls,175,175,f00cbc92cd18e052456828980f1e0d963cf02569,175,0,0,0,2025-10-08 01:01:19.293670+08:00
691830,Avernum 3: Ruined World,164,164,a8ab85b97b6d0b162dd10fde05e8d68b9b0a95b0,164,0,0,0,2025-10-08 01:01:19.293670+08:00
255300,Journey of a Roach,122,122,ce14586c7854f51e3482bcfa3e73f56e2c2e14ac,122,0,0,0,2025-10-08 01:01:19.293670+08:00
219890,Antichamber,115,115,1c3afe41623c51172ef1dc96427bf23bb940748b,115,0,0,0,2025-10-08 01:01:19.293670+08:00
841600,Aura of Worlds,110,110,fbe638f7ad0b76818ef6ca44d76781766a7c5767,110,0,0,0,2025-10-08 01:01:19.293670+08:00
844590,Hypnospace Outlaw,110,110,98ea853e63f3963988297b67cfbb2cb8cb00b7eb,110,0,0,0,2025-10-08 01:01:19.293670+08:00
1546790,"Peace, Death! 2",104,104,14dd8d3da57ac8d66e25f7c5542dfee816ccaae6,104,0,0,0,2025-10-08 01:01:19.293670+08:00
427410,Abiotic Factor,104,104,789cca4e4e51a6649f5728d870d3a602e3c453fe,104,0,0,0,2025-10-08 01:01:19.293670+08:00
552990,World of Warships,104,104,023b6bb5bcf82f9222d70cd38fdb18a899bd67e8,104,0,0,0,2025-10-08 01:01:19.293670+08:00
701470,TTV2,103,103,f0b891dc7c68da8aeed43edf590f02c2e98c5547,103,0,0,0,2025-10-08 01:01:19.293670+08:00
546090,Trip to Vinelands,102,102,9fb1ad4ba8ebc025971ccd3ca36b1f0cdcc064b7,102,0,0,0,2025-10-08 01:01:19.293670+08:00
466300,Planescape: Torment: Enhanced Edition,99,99,4e1c0c44dbe08a29733cd96ab0f8fc87db8b60ea,99,0,0,0,2025-10-08 01:01:19.293670+08:00
357070,UBERMOSH,98,98,e8cd0580affd04d1da681da369fb0d5f927dae8d,98,0,0,0,2025-10-08 01:01:19.293670+08:00
1177980,"Little Kitty, Big City",98,98,6ec93a31653f49b4bf7ab633c4d136210751d30e,98,0,0,0,2025-10-08 01:01:19.293670+08:00
1836120,QUICKERFLAK,93,93,20cd84a07562ab0d83b43ad58be8b97206297cda,93,0,0,0,2025-10-08 01:01:19.293670+08:00
207080,Indie Game: The Movie,92,92,1d29a72931dc845cf9ec7a04501fe40a7ed57dd1,92,0,0,0,2025-10-08 01:01:19.293670+08:00
230070,The Age of Decadence,92,92,68c3456eed61992a13543dbfdea6fc9f771c0c3d,92,0,0,0,2025-10-08 01:01:19.293670+08:00
962580,Summer in Mara,87,87,e04b8a76de0da6666e1366f07edbaec6669a3660,87,0,0,0,2025-10-08 01:01:19.293670+08:00
2186680,"Warhammer 40,000: Rogue Trader",87,87,a944983525cae5819f19bb2b530cb28ea4f6bd06,87,0,0,0,2025-10-08 01:01:19.293670+08:00
1581770,SpellForce: Conquest of Eo,87,87,ea35afa74e009e1cca12bdae92e15b8ebbd7dee9,87,0,0,0,2025-10-08 01:01:19.293670+08:00
1404850,Luck be a Landlord,87,87,ce8b9c2719ccf0fb47c3b97eb58f758913a268fd,87,0,0,0,2025-10-08 01:01:19.293670+08:00
576770,Low Magic Age,85,85,49187c57eaad8e0f4e2454b0a83cd533bd080c6c,85,0,0,0,2025-10-08 01:01:19.293670+08:00
250760,Shovel Knight: Treasure Trove,84,84,a4df2557166453374519b64ed5ccef3f0a643f4e,84,0,0,0,2025-10-08 01:01:19.293670+08:00
1718570,ASTLIBRA ～生きた証～ Revision,38,153,e7c445fc57e408d34f6d831588026cace13d3150,153,0,0,0,2025-10-08 01:01:19.293670+08:00
993090,Lossless Scaling,2,2,42900f430ed7828d2dfa25f07ac02e3de96bc520,2,0,0,0,2025-10-08 01:01:19.293670+08:00
